Date,Opponent,Home/Road,Period,Time,Situation,G,A1,A2
2014-03-30,CHI,H,1,9:44,ES,Neal,Jokinen,Bortuzzo
2014-03-30,CHI,H,1,20:05,ES,Stempniak,Niskanen,Kunitz
2014-03-30,CHI,H,3,15:09,ES,Crosby,Kunitz,
2014-03-30,CHI,H,3,18:44,EN,Crosby,Maatta,Bennett
2014-04-01,CAR,H,1,9:01,ES,Kunitz,Stempniak,Crosby
2014-04-03,WPG,R,1,12:44,ES,Bennett,Crosby,Jokinen
2014-04-03,WPG,R,2,18:47,ES,Adams,Stempniak,
2014-04-03,WPG,R,3,7:42,PPG,Martin,Neal,Crosby
2014-04-03,WPG,R,3,16:24,ES,Gibbons,,
2014-04-06,COL,R,2,3:46,ES,Sutter,Glass,Niskanen
2014-04-06,COL,R,2,7:08,PPG,Sutter,Jokinen,Neal
2014-04-09,DET,H,2,9:03,PPG,Neal,Crosby,Martin
2014-04-09,DET,H,2,16:42,PPG,Neal,Niskanen,Martin
2014-04-09,DET,H,3,9:17,ES,Jokinen,Letang,Niskanen
2014-04-12,PHI,H,1,2:00,ES,Jokinen,Neal,Gibbons
2014-04-12,PHI,H,3,14:53,ES,Neal,Crosby,Letang
2014-04-12,PHI,H,3,19:23,ES,Letang,Neal,Niskanen
2014-04-13,OTT,H,1,14:46,PPG,Jokinen,Kunitz,Letang
2014-04-13,OTT,H,2,05:16,ES,Stempniak,Bennett,Gibbons
